Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Usar prodcucción,Proveedor,Costo de compra,Disponibles para la venta [Obrador Roig],Precio [Obrador Roig],En inventario [Obrador Roig],Existencias bajas [Obrador Roig],Stock óptimo [Obrador Roig],"impuesto - ""IVA 4%"" (4%)","impuesto - ""IVA 10%"" (10%)"
crema-x3-st.-josep,10387,Crema x4 St. Josep,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,12.00,,,,N,Y
croissant,10001,Croissant G.,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,1.60,,,,N,Y
croissant-xoco-blanc,10117,Croissant G. blanc,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
croissant-xoco-negre,10118,Croissant G. Xoco,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
croissant-gegant,10106,Croissant gegant,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,24.50,,,,N,Y
croissant-gegant-farcit,10107,Croissant gegant farcit,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,31.50,,,,N,Y
croissant-mini,10110,Croissant mini,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.85,,,,N,Y
croissant-mini-xoco-blanc,10113,Croissant mini blanc,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.90,,,,N,Y
croissant-mini-xoco-negre,10114,Croissant mini negre,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.90,,,,N,Y
croissant-mini-salat,10112,Croissant mini salat,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
croissant-mini-rallat-praliné,10111,Croissant ratllat mini xoco avellana,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.90,,,,N,Y
croissant-salat,10116,Croissant salat,DZ,,N,,,,,,,0.00,,,,N,,,,Y,2.20,,,,N,Y
crostonets-picatostes-t'olis,10008,Crostonets picatostes T'Olis,T'olis,,N,,,,,,,0.00,,,,N,,,,Y,3.40,,,,N,Y
cuc-montatge,10064,Cuc mini berlines,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,8.50,,,,N,Y
deco-infantil-gran,10313,Deco infantil gran,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
deco-infantil-petita,10314,Deco infantil petita,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
dit-halloween,10055,Dit Halloween,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
drac-peluix,10442,Drac peluix,Diada,,N,,,,,,,0.00,,,,N,,,,Y,11.95,,,,N,Y
drac-pinça,10443,Drac pinça,Diada,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
drac-xoco,10258,Drac xoco,Diada,,N,,,,,,,0.00,,,,N,,,,Y,4.50,,,,N,Y
drups-xocolata,10310,Drups perles xocolata,brioixeria SR,,Y,,,,,,,0.00,,,,N,,,,Y,16.00,,,,N,Y
ensaïmada,10121,Ensaïmada,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,1.60,,,,N,Y
ensaïmada-xoco,10324,Ensaïmada farcida,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
ensaïmada-mallorquina,10122,Ensaïmada mallorquina,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,21.50,,,,N,Y
ensaïmada-mallorquina-farcida,10123,Ensaïmada mallorquina farcida,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,27.50,,,,N,Y
ensaïmada-mini,10124,Ensaïmada mini,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.95,,,,N,Y
entrepà-gran,10094,Entrepà gran,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,4.00,,,,N,Y
entrepa-gran-tonyina,10187,Entrepà gran tonyina,entrepà,,N,,,,,,,4.50,,,,N,,,,Y,4.50,,,,Y,Y
entrepà-mini,10062,Entrepà mini,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
